Organisation,KvK number,clean_name
Countr International B.V.,30242651.0,countr international
Courdid Employer Services B.V.,91510724.0,courdid employer services
Coveo (Europe) B.V.,59805706.0,coveo
Cover Genius Europe B.V.,73237426.0,cover genius
Covestro (Netherlands) B.V.,62059459.0,covestro
Covetrus B.V.,16044987.0,covetrus
Cow Hills Retail B.V.,30218521.0,cow hills retail
Coway Europe B.V.,82817553.0,coway
CowManager B.V.,59285273.0,cowmanager
Coyote Logistics Nederland B.V.,68498241.0,coyote logistics
CPH Pharma B.V.,34191409.0,cph pharma
CPIC Europe B.V.,56575017.0,cpic
CPM Europe B.V.,33106197.0,cpm
CPMView Consulting B.V.,9181756.0,cpmview consulting
CPYou B.V.,77405714.0,cpyou
Cradle Bio B.V.,84219092.0,cradle bio
Cradle to Cradle Products Innovation Institute B.V.,66481260.0,cradle to cradle products innovation institute
Crane Services Oss B.V.,50209248.0,crane services oss
Crane Worldwide Logistics B.V.,34359094.0,crane worldwide logistics
Cranium Nederland B.V.,68949979.0,cranium
CRAVEA B.V.,84572043.0,cravea
Cravit B.V.,20099850.0,cravit
CRAYON B.V.,59310715.0,crayon
CRC-Evans B.V.,8074094.0,crcevans
Creamy Creation B.V.,74214055.0,creamy creation
Create Entrance B.V.,56248644.0,create entrance
Createq B.V.,66469678.0,createq
Creativ-Ceutical B.V.,66428483.0,creativceutical
Creative Clicks B.V.,34371042.0,creative clicks
Creative Fabrica B.V.,70114412.0,creative fabrica
Creative Strategy Digital B.V.,64151646.0,creative strategy digital
Crédit Agricole Consumer Finance Nederland B.V.,33183520.0,crdit agricole consumer finance
Credit Management & Investor Solutions B.V.,51486202.0,credit management investor solutions
CreditAccess India N.V.,60281758.0,creditaccess india
Creetion B.V.,17225252.0,creetion
Cregora B.V.,17221846.0,cregora
Crem International B.V.,64736148.0,crem international
Crest Dutch Machinery B.V.,5077025.0,crest dutch machinery
Crestec Europe B.V.,33264526.0,crestec
CRF International Holding B.V.,34288937.0,crf international
CRH Nederland B.V.,28068878.0,crh
Crisp,71482288.0,crisp
CRITEO B.V.,52465624.0,criteo
Critical Path Institute Stichting,85256862.0,critical path institute stichting
Crobox B.V.,65563956.0,crobox
Crobox Services B.V.,80401120.0,crobox services
Crocs Europe B.V.,27276812.0,crocs
Croes Bouwtechnisch Ingenieursbureau B.V.,10032195.0,croes bouwtechnisch ingenieursbureau
Cromwell Netherlands B.V.,34142932.0,cromwell
Croonwolter&dros B.V.,64954153.0,croonwolterdros
CROP registeraccountants,32166733.0,crop registeraccountants
CropIn Technology Solutions B.V.,77306724.0,cropin technology solutions
CropX B.V.,53188772.0,cropx
Cross Options International I B.V.,33159851.0,cross options international i
Crossroads International Church,34385150.0,crossroads international church
CrowdBuilding Tech B.V.,81149301.0,crowdbuilding tech
CrowdSense B.V.,55605389.0,crowdsense
CrowdStrike (Netherlands) B.V.,67285929.0,crowdstrike
Crowe Foederer Holding B.V.,17034844.0,crowe foederer
Crown Bioscience Netherlands B.V.,77296443.0,crown bioscience
Crown Deck B.V.,24382449.0,crown deck
Crown Laminates Holland B.V.,66363543.0,crown laminates holland
Crown Relocations B.V.,23042710.0,crown relocations
Cruden B.V.,34206285.0,cruden
CRUN Tech B.V.,93783116.0,crun tech
Crux Innovations B.V.,56896956.0,crux innovations
CRV Holding B.V.,9125050.0,crv
CryoCloud B.V.,88290131.0,cryocloud
Cryosol-World,71053913.0,cryosolworld
Cryptohopper B.V.,70270481.0,cryptohopper
Crystal Amethyst B.V.,27363920.0,crystal amethyst
Crystal Lagoons B.V.,53878779.0,crystal lagoons
Crystalloids B.V.,34247825.0,crystalloids
CS Digital Media B.V.,60106050.0,cs digital media
CSafe Global Coöperatief U.A.,58418954.0,csafe global coperatief ua
C-Shipping B.V.,24281871.0,cshipping
CSi Industries B.V.,18057257.0,csi industries
CSM Bakery Solutions Europe Holding B.V.,56145624.0,csm bakery solutions
CSM Ingredients Benelux (NL) B.V.,80825095.0,csm ingredients benelux nl
CT Hostels B.V.,76012034.0,ct hostels
Ctac Nederland B.V.,34102528.0,ctac
CTC Europe B.V.,94082456.0,ctc
CTF Amsterdam B.V.,61000574.0,ctf amsterdam
CTH EU B.V.,68110383.0,cth eu
CTN Group B.V.,61249475.0,ctn
CTO7 B.V.,54795710.0,cto7
CtrlChain B.V.,72617217.0,ctrlchain
CTS International Logistics (Netherlands) B.V.,76363848.0,cts international logistics
CTS Offshore and Marine B.V.,78649544.0,cts offshore and marine
Cubematch B.V.,67127398.0,cubematch
Cuccibu B.V.,61072923.0,cuccibu
Cullinan Academy B.V.,54652200.0,cullinan academy
Cultivation Systems B.V.,27315697.0,cultivation systems
Cultivators B.V.,77084357.0,cultivators
Cummins Emission Solutions Netherlands B.V.,12067345.0,cummins emission solutions
Cummins Holland B.V.,34220850.0,cummins holland
Cummins Limited,65479912.0,cummins limited
"Cumulocity GmbH, Netherlands Branch",95171401.0,cumulocity gmbh branch
Curado Trust (Nederland) B.V.,34147143.0,curado trust
Curavista B.V.,20067415.0,curavista
CureSupport Nederland B.V.,81439822.0,curesupport
CureVac Netherlands B.V.,73486809.0,curevac
Curgoal,70526591.0,curgoal
Currency Cloud Services B.V.,76606619.0,currency cloud services
Curvature LLC,34175039.0,curvature llc
Customs Support Group B.V.,24294906.0,customs support
Customs Support NCTS B.V.,24252173.0,customs support ncts
Cutr B.V.,82617805.0,cutr
CVmaker B.V.,70894027.0,cvmaker
CWN Marine B.V.,81904479.0,cwn marine
CWT Global B.V.,34254672.0,cwt global
CXPerts B.V.,68552467.0,cxperts
Cybage Software B.V.,58413715.0,cybage software
CyBe Construction B.V.,59128380.0,cybe construction
"CYBERDYNE, INC",72299800.0,cyberdyne inc
CyberLens B.V.,71351043.0,cyberlens
CyberPeace Institute Stichting,94067155.0,cyberpeace institute stichting
Cycle Link (Europe) B.V.,51277387.0,cycle link
Cycleon B.V.,30204625.0,cycleon
Cycling Sports Group Europe B.V.,6060448.0,cycling sports
Cyclomedia,16063843.0,cyclomedia
Cyclotron VU,33244269.0,cyclotron vu
Cygnum Capital B.V.,82981590.0,cygnum capital
Cyient B.V.,20100712.0,cyient
Cymer B.V.,33302949.0,cymer
Cymo B.V.,77760344.0,cymo
Cytec Industries B.V.,24108520.0,cytec industries
Cytek Biosciences B.V.,74997823.0,cytek biosciences
Cytocypher B.V.,64058905.0,cytocypher
D&M Europe B.V.,17073774.0,dm
D. SOLUTIONS B.V.,73358525.0,d solutions
D. TRADING B.V.,73358355.0,d trading
D.O.R.C. Dutch Ophthalmic Research Center (International) B.V.,24167879.0,dorc dutch ophthalmic research center international
D.P. Supply B.V.,4043678.0,dp supply
D.Q.A. Pharma International B.V.,23087494.0,dqa pharma international
D/DOCK B.V.,75191687.0,ddock
D2D Holding B.V.,62708996.0,d2d
D2Win B.V.,24444133.0,d2win
D2X Group N.V.,82248915.0,d2x
Da Vinci Derivatives B.V.,63796473.0,da vinci derivatives
Da Vinci Group B.V.,62888315.0,da vinci
Da Vinci Laboratory Solutions B.V.,24312114.0,da vinci laboratory solutions
Daarnhouwer & Co B.V.,35026025.0,daarnhouwer co
Dachser Netherlands B.V.,9039871.0,dachser
Dada Consultancy B.V.,9106692.0,dada consultancy
Daedong Kioti Europe B.V.,24484869.0,daedong kioti
Daelmans Oss B.V.,16076011.0,daelmans oss
Daesang Europe B.V.,33256878.0,daesang
DAF Trucks N.V.,17078445.0,daf trucks
Dagi Metals B.V.,6078549.0,dagi metals
Dahua Europe B.V.,61278629.0,dahua
DAIA Luxembourg Holding S.à r.l.,90286693.0,daia luxembourg s rl
Daikin Chemical Netherlands B.V.,18049280.0,daikin chemical
Daily Paper Wholesale B.V.,68051875.0,daily paper wholesale
Dainippon Screen (Nederland) B.V.,33163141.0,dainippon screen
DairyDataWarehouse B.V.,51385309.0,dairydatawarehouse
Daisycon B.V.,39073684.0,daisycon
Daitron (Netherlands) B.V.,88695891.0,daitron
Daiwa House Europe B.V.,77560809.0,daiwa house
Daiwa Kasei Europe B.V.,62679465.0,daiwa kasei
Daksha Consultancy B.V.,84759003.0,daksha consultancy
Dallas Netherlands Cooperative U.A.,64235254.0,dallas cooperative ua
Dalsem B.V.,27221420.0,dalsem
Dam 9 B.V.,58172149.0,dam 9
Damen Civil & Modular Constructions B.V.,80687628.0,damen civil modular constructions
Damen Dredging Equipment B.V.,8018149.0,damen dredging equipment
Damen Financial Services Holding B.V.,82093601.0,damen financial services
Damen Global Support B.V.,58686010.0,damen global support
Damen Marine Components Netherlands B.V.,23033889.0,damen marine components
Damen Offshore & Specialized Vessels B.V.,73405345.0,damen offshore specialized vessels
Damen Research Development & Innovation B.V.,84607343.0,damen research development innovation
Damen Schelde Naval Shipbuilding B.V.,22044040.0,damen schelde naval shipbuilding
Damen Services B.V.,76791718.0,damen services
Damen Shipbuilding & Cooperation B.V.,76792897.0,damen shipbuilding cooperation
Damen Shiprepair Harbour & Voyage B.V.,64434907.0,damen shiprepair harbour voyage
Damen Shiprepair Rotterdam B.V.,11044239.0,damen shiprepair rotterdam
Damen Workboats B.V.,76792595.0,damen workboats
Damen Yachting B.V.,22047281.0,damen yachting
Dana Petroleum Netherlands B.V.,27120679.0,dana petroleum
Dana SAC Benelux B.V.,28034356.0,dana sac benelux
Danfoss B.V.,24227769.0,danfoss
Danfoss Power Solutions II B.V.,78230403.0,danfoss power solutions ii
Danieli Corus B.V.,34079535.0,danieli corus
Danone Baby and Medical Nutrition Nederland B.V.,27089897.0,danone baby and medical nutrition
Danone Global Research & Innovation Center B.V.,9096817.0,danone global research innovation center
Danone Nutricia Nederland B.V.,27090766.0,danone nutricia
Danone Trading ELN B.V.,27194422.0,danone trading eln
Danone Trading Medical B.V.,62263560.0,danone trading medical
DanTrade B.V.,57667667.0,dantrade
Daqso International B.V.,94613028.0,daqso international
Darfon Europe B.V.,61951064.0,darfon
Dark Matter Laboratories B.V.,75174405.0,dark matter laboratories
Darktrace Netherlands B.V.,63964228.0,darktrace
Darling Ingredients International Holding B.V.,17064839.0,darling ingredients international
Darling Ingredients International IT Services B.V.,17088546.0,darling ingredients international it services
DART Aerospace B.V.,72246111.0,dart aerospace
Darwin Recruitment B.V.,53725514.0,darwin recruitment
Dashmote B.V.,63300095.0,dashmote
Dassault Systèmes B.V.,30147672.0,dassault systmes
Daston B.V.,77724119.0,daston
DAT.Mobility B.V.,27103813.0,datmobility
Data eXcellence B.V.,32153046.0,data excellence
Data Lens B.V.,85127051.0,data lens
Data2Logistics Europe B.V.,27268138.0,data2logistics
DataBalk B.V.,30203836.0,databalk
Databricks,51208121.0,databricks
Datacation B.V.,82577102.0,datacation
Data-Centric Engineering B.V.,85241148.0,datacentric engineering
Datadog Netherlands B.V.,77823664.0,datadog
Dataflex International B.V.,24146017.0,dataflex international
Datafuture B.V.,76501973.0,datafuture
Dataiku B.V.,83000828.0,dataiku
Datakeeper B.V.,91386594.0,datakeeper
DataLane B.V.,72782234.0,datalane
DataLyzer International B.V.,12048189.0,datalyzer international
Datamaran B.V.,80824390.0,datamaran
DataPebbles B.V.,78354617.0,datapebbles
DataProphet International Operations B.V.,77590082.0,dataprophet international operations
DataSnipper B.V.,69343861.0,datasnipper
Datavideo Technologies Europe B.V.,24194095.0,datavideo technologies
Datenna B.V.,68808070.0,datenna
DatHuis B.V.,68601271.0,dathuis
Datlinq,17094483.0,datlinq
DATUM SOLUTIONS NETHERLANDS B.V.,70919798.0,datum solutions
David Lewis Productions B.V.,60885653.0,david lewis productions
David Lloyd Sports & Health Club,17111830.0,david lloyd sports health club
Dawn Aerospace Nederland B.V.,73356824.0,dawn aerospace
Dawn Foods B.V.,20097264.0,dawn foods
Dawn Foods International B.V.,32070903.0,dawn foods international
Dawning Digital B.V.,85078115.0,dawning digital
Dayrize B.V.,77342275.0,dayrize
DAZN Media Netherlands B.V.,78544297.0,dazn media
DBR B.V.,23028207.0,dbr
DBXB Netherlands B.V.,24366706.0,dbxb
DC Airco Company B.V.,37130167.0,dc airco company
DC People,63919028.0,dc people
DCA Market Intelligence B.V.,52863778.0,dca market intelligence
DCC Energy Nederland B.V.,32094780.0,dcc energy
DCE-Europe B.V.,22058526.0,dce
DCG Consulting B.V.,82520267.0,dcg consulting
DCI Dutch Certification Institute,1045701.0,dci dutch certification institute
DCN Diving B.V.,13019455.0,dcn diving
DCprime,34224535.0,dcprime
DDB Amsterdam B.V.,34219983.0,ddb amsterdam
DDL Diagnostic Laboratory B.V.,27236979.0,ddl diagnostic laboratory
De Agile Testers B.V.,64013987.0,de agile testers
De Architectenwerkgroep Tilburg (DAT),18033496.0,de architectenwerkgroep tilburg dat
de Architekten Cie. B.V.,58806075.0,de architekten cie
De Belastingbespaarders B.V.,73318752.0,de belastingbespaarders
De Bezorgersshop,72675497.0,de bezorgersshop
De Blauwe Tand B.V.,81554249.0,de blauwe tand
De Blokkenhut B.V.,34258209.0,de blokkenhut
De Bondt B.V.,4023846.0,de bondt
De Brauw Blackstone Westbroek N.V.,27171912.0,de brauw blackstone westbroek
De Compliance Afdeling B.V.,90016319.0,de compliance afdeling
De Efteling B.V.,18122297.0,de efteling
De Gier B.V.,27212124.0,de gier
De Groot en Visser B.V.,23056962.0,de groot en visser
De Haagse Hogeschool,27255912.0,de haagse hogeschool
De Herenkliniek B.V.,92194397.0,de herenkliniek
De Heus Voeders B.V.,14626985.0,de heus voeders
De Jong & Laan Controle B.V.,6054458.0,de jong laan controle
De Jong Combustion B.V.,24489047.0,de jong combustion
De Jong Plants,28095372.0,de jong plants
De Kerk van Jezus Christus van de Heiligen der Laatste Dagen in Nederland,24481208.0,de kerk van jezus christus van de heiligen der laatste dagen in
De Kleijn Energy Consulting B.V.,52926915.0,de kleijn energy consulting
De Kok Staalbouw B.V.,20074900.0,de kok staalbouw
De Koninklijke Nederlandse Munt N.V.,30116000.0,de koninklijke nederlandse munt
De Koninklijke Nederlandse Zwembond - KNZB,40477530.0,de koninklijke nederlandse zwembond knzb
De Korte Weg B.V.,20142702.0,de korte weg
De Kwaadsteniet B.V.,24266381.0,de kwaadsteniet
De Lage Landen International B.V.,17056223.0,de lage landen international
De Markt Mondzorg,66972914.0,de markt mondzorg
De Nederlandsche Bank N.V.,33003396.0,de nederlandsche bank
De Nieuwe Winkel B.V.,88447979.0,de nieuwe winkel
de Noordhoek Zonnemaire,20141428.0,de noordhoek zonnemaire
De Oude Bibliotheek B.V.,59354461.0,de oude bibliotheek
De Pooter B.V.,21006768.0,de pooter
De Praatmaat Groep B.V.,52941167.0,de praatmaat groep
De Regt Marine Cables B.V.,24196885.0,de regt marine cables
De Ruggesteun,60193611.0,de ruggesteun
De Rugspecialist B.V.,66803209.0,de rugspecialist
De Ruijter International B.V.,18115159.0,de ruijter international
De Staffing Groep Nederland B.V.,11020532.0,de staffing groep
De Urbanisten B.V.,68453302.0,de urbanisten
De ViB fabriek B.V.,58738908.0,de vib fabriek
De Voogt Naval Architects B.V.,34059966.0,de voogt naval architects
De Werkunie B.V.,30257805.0,de werkunie
De ZorgAccountants B.V.,30211213.0,de zorgaccountants
De Zwaluw Logistiek B.V.,36046107.0,de zwaluw logistiek
De Zwarte Hond Groningen B.V.,63642182.0,de zwarte hond groningen
Dealroom.co B.V.,59237368.0,dealroomco
DEBoss B.V.,90734726.0,deboss
Dec Netherlands B.V.,51119498.0,dec
Decathlon Netherlands B.V.,34306685.0,decathlon
DECATNS B.V.,90892488.0,decatns
Deckers Benelux B.V.,27354489.0,deckers benelux
Decoders B.V.,84779179.0,decoders
Decos Software Development B.V.,51814617.0,decos software development
Decos Software Engineering B.V.,28054540.0,decos software engineering
DeedMob B.V.,67534554.0,deedmob
Deel Nederland B.V.,82007594.0,deel
Deep B.V.,34118003.0,deep
Deep Blue Capital B.V.,34296402.0,deep blue capital
Deepdesk B.V.,74458418.0,deepdesk
DeepL NL B.V.,84080930.0,deepl nl
Deeploy B.V.,78193621.0,deeploy
DeeptechXL Fund Management B.V.,83978585.0,deeptechxl fund management
Deerns Nederland B.V.,27047671.0,deerns
Defacto Urbanism B.V.,78695775.0,defacto urbanism
Defenced B.V.,76908631.0,defenced
Defesche Van den Putte architectuur en stedenbouw B.V.,27214553.0,defesche van den putte architectuur en stedenbouw
Defne Supermarkt B.V.,70879451.0,defne supermarkt
Deftpower B.V.,78087627.0,deftpower
DEG Groep B.V.,68602510.0,deg groep
DEHA B.V.,73091456.0,deha
Déhora advies B.V.,34193380.0,dhora advies
DEKC Maritime B.V.,2037627.0,dekc maritime
Dekimo Experts Delft B.V.,70326525.0,dekimo experts delft
Dekimo Experts Eindhoven B.V.,74470345.0,dekimo experts eindhoven
Dekimo Experts Enschede B.V.,78648777.0,dekimo experts enschede
Dekker Management Beheer B.V.,36030162.0,dekker management beheer
Dekker Olifanta B.V.,28055371.0,dekker olifanta
Dekkers Visual Communication B.V.,17121214.0,dekkers visual communication
DEKOM B.V.,52638472.0,dekom
DEKRA Certification B.V.,9085396.0,dekra certification
DEKRA Rail B.V.,27141477.0,dekra rail
Del Monte (Holland) B.V.,29036144.0,del monte holland
DELA Natura- en levensverzekeringen N.V.,17078393.0,dela natura en levensverzekeringen
DeLaval,2041794.0,delaval
Delaware Consulting B.V.,17105219.0,delaware consulting
Delft AI B.V.,84607483.0,delft ai
Delft Circuits B.V.,68796803.0,delft circuits
Delft Imaging Systems B.V.,30185278.0,delft imaging systems
Delft Research Group B.V.,27294457.0,delft research
Deli Home Holding B.V.,64961060.0,deli home
Deliflor Chrysanten,27218476.0,deliflor chrysanten
Deliverect B.V.,80411088.0,deliverect
Deliveroo Netherlands B.V.,63605929.0,deliveroo
Dell Benelux Call Centre,33226753.0,dell benelux call centre
Delmar International (Netherlands) B.V.,34111646.0,delmar international
Del-Mar Safety B.V.,53951425.0,delmar safety
DELMIC B.V.,51556650.0,delmic
Deloitte Accountancy & Advies B.V.,57666954.0,deloitte accountancy advies
Deloitte Accountants,24362853.0,deloitte accountants
Deloitte Consultative Services B.V.,33259541.0,deloitte consultative services
Deloitte Group Support Center B.V.,24362837.0,deloitte support center
Deloitte Tax & Legal B.V.,24362840.0,deloitte tax legal
Delos Sage Holdco Coöperatief U.A.,70002924.0,delos sage holdco coperatief ua
Delpharm Development Leiden B.V.,88276872.0,delpharm development leiden
Delphy B.V.,9131958.0,delphy
Delrin Netherlands B.V.,85951218.0,delrin
"Delta Air Lines, Inc.",33258232.0,delta air lines inc
Delta Capita B.V.,56180888.0,delta capita
Delta Component Limited,92760635.0,delta component limited
Delta Diagnostics B.V.,71183477.0,delta diagnostics
Delta Electronics (Netherlands) B.V.,12040831.0,delta electronics
DELTA Fiber Nederland B.V.,22051676.0,delta fiber
Delta Greentech (Netherlands) B.V.,34297145.0,delta greentech
Delta Labs B.V.,66814251.0,delta labs
Delta Light Nederland B.V.,20071847.0,delta light
Delta Team Personeelsdiensten B.V.,27260283.0,delta team personeelsdiensten
Delta Travel Service B.V.,33166123.0,delta travel service
Delta Wines B.V.,24378358.0,delta wines
Delta-N B.V.,27170474.0,deltan
DeltaQuad B.V.,51835193.0,deltaquad
DELVA Landscape Architects,61008001.0,delva landscape architects
Demaco Holland B.V.,37079728.0,demaco holland
DEMCON high-tech systems Eindhoven B.V.,82010781.0,demcon hightech systems eindhoven
DEMCON high-tech systems Enschede B.V.,6076725.0,demcon hightech systems enschede
DEMCON kryoz B.V.,8177692.0,demcon kryoz
DEMCON life sciences & health Delft B.V.,66542030.0,demcon life sciences health delft
DEMCON life sciences & health Eindhoven B.V.,53846486.0,demcon life sciences health eindhoven
DEMCON life sciences & health Enschede B.V.,6070325.0,demcon life sciences health enschede
DEME Offshore NL B.V.,20064480.0,deme offshore nl
Demir-Halk Bank (Nederland) N.V.,24199853.0,demirhalk bank
DEMO Consultants B.V.,28071545.0,demo consultants
Den Haag,27370927.0,den haag
Den Haag Centrum voor Strategische Studies (HCSS) B.V.,27245148.0,den haag centrum voor strategische studies hcss
Den Hartogh Shared Services B.V.,50411160.0,den hartogh shared services
Den Ouden Materieel B.V.,16085715.0,den ouden materieel
Denham The Jeanmaker B.V.,57908680.0,denham jeanmaker
Denim City HQ B.V.,59138785.0,denim city hq
Denka International B.V.,21019769.0,denka international
Denkavit Nederland B.V.,9036151.0,denkavit
Denkers Shipping B.V.,9149929.0,denkers shipping
DeNoize B.V.,74525786.0,denoize
DENS Power B.V.,76433277.0,dens power
Denso Europe B.V.,32050077.0,denso
Denso International Europe B.V.,32027898.0,denso international
DENSsolutions B.V.,55763820.0,denssolutions
Dent2Dent Hendrik Ido Ambacht B.V.,70711062.0,dent2dent hendrik ido ambacht
Dental Clinics Joure B.V.,67277608.0,dental clinics joure
Dental Clinics Veenendaal B.V.,61835161.0,dental clinics veenendaal
Dental Robotics B.V.,69775702.0,dental robotics
DENTAL Universe B.V.,27286953.0,dental universe
Dental365 Rotterdam B.V.,67451551.0,dental365 rotterdam
Dentons Europe LLP,73505323.0,dentons llp
Dentsply Sirona Benelux B.V.,27088755.0,dentsply sirona benelux
DentVille B.V.,62534718.0,dentville
Denyo Europe B.V.,30230846.0,denyo
Deonet Group B.V.,17067870.0,deonet
Deployment Matters Netherlands B.V.,70862109.0,deployment matters
Dept Creative & Media B.V.,24431627.0,dept creative media
Dept Design & Technology B.V.,27239483.0,dept design technology
Dept Holding B.V.,63464101.0,dept
Dept NL Holding B.V.,92551033.0,dept nl
deRoostermakers B.V.,57927405.0,deroostermakers
Desa Construction NL B.V.,69222150.0,desa construction nl
Desah B.V.,1108003.0,desah
DeSci Labs Netherlands B.V.,84190361.0,desci labs
Design Associates B.V.,32085693.0,design associates
Design Bridge and Partners B.V.,33267669.0,design bridge and partners
Design Erick van Egeraat B.V.,66169240.0,design erick van egeraat
DESIGN8 B.V.,11063158.0,design8
Desolenator B.V.,58733795.0,desolenator
deSter Holding B.V.,33201067.0,dester
Destinus Energy B.V.,89630777.0,destinus energy
Destinus OPRA B.V.,89632966.0,destinus opra
Desyde B.V.,31043048.0,desyde
Desyo B.V.,88061248.0,desyo
DET International Holding Limited,87512904.0,det international limited
Deta-Q B.V.,86888706.0,detaq
deugro (Netherlands) B.V.,64775275.0,deugro
Deus B.V.,76658007.0,deus
Deutsche Bank,33304583.0,deutsche bank
Deutsche Post International B.V.,33232511.0,deutsche post international
Deutsche Telekom Global Business Solutions Nederland B.V.,76706532.0,deutsche telekom global business solutions
Developers.nl B.V.,57560188.0,developersnl
DevelsteinCollge-Develsingel,40324154.0,develsteincollgedevelsingel
Devhouse Spindle B.V.,61958034.0,devhouse spindle
Devon India-NL B.V.,39084661.0,devon indianl
DevOpsInternational B.V.,64080986.0,devopsinternational
DevRepublic B.V.,8181059.0,devrepublic
Devtaar B.V.,63746492.0,devtaar
Dexerials Europe B.V.,34077992.0,dexerials
Dexter Energy Services B.V.,65426479.0,dexter energy services
Dexxon Data Media and Storage B.V.,29031645.0,dexxon data media and storage
DFDS Distri Holding B.V.,9140062.0,dfds distri
DFDS Logistics Winterswijk B.V.,8035771.0,dfds logistics winterswijk
DFDS Seaways B.V.,27111677.0,dfds seaways
DFE Pharma B.V.,17191677.0,dfe pharma
DFFRNT LAB B.V.,66678285.0,dffrnt lab
DFM N.V.,31018376.0,dfm
DFS Netherlands,24099513.0,dfs
DGB-Earth Sciences B.V.,8111182.0,dgbearth sciences
DGMR Bouw B.V.,9142407.0,dgmr bouw
DGN Publishers B.V.,30168362.0,dgn publishers
DH Netherlands B.V.,54025990.0,dh
DHI Investment B.V.,32127861.0,dhi investment
DHL Express,34052070.0,dhl express
DHL Finance Services B.V.,14064670.0,dhl finance services
DHL Freight (Netherlands) B.V.,30130193.0,dhl freight
DHL Global Forwarding (Netherlands) B.V.,34064736.0,dhl global forwarding
DHL Parcel (Netherlands) B.V.,30076845.0,dhl parcel
DHL Supply Chain (Netherlands) B.V.,24168570.0,dhl supply chain
DHL Supply Chain Management B.V.,24270249.0,dhl supply chain management
DHR International Holland B.V.,34359358.0,dhr international holland
DI Blue B.V.,51110288.0,di blue
Diaconie van de Protestantse Gemeente,34341674.0,diaconie van de protestantse gemeente
Diagenius B.V.,83145109.0,diagenius
Diageo Brands,34138436.0,diageo brands
Diageo Nederland B.V.,30048592.0,diageo
DialogueTrainer B.V.,66655404.0,dialoguetrainer
Diamond Chubu Europe B.V.,76464024.0,diamond chubu
Diamond Flower Information (NL) B.V.,24307230.0,diamond flower information nl
Diamond-fms B.V.,17266193.0,diamondfms
DIANA FEA B.V.,27252655.0,diana fea
Diaset B.V.,30184982.0,diaset
Dibanisa International B.V.,83630961.0,dibanisa international
Dicolor Optoelectronics B.V.,69240388.0,dicolor optoelectronics
Diebold Nixdorf Global Solutions B.V.,58379401.0,diebold nixdorf global solutions
Dienst Uitvoering Onderwijs,50973029.0,dienst uitvoering onderwijs
Dierenkliniek Hoogveld B.V.,78069629.0,dierenkliniek hoogveld
Dieseko Group B.V.,24443483.0,dieseko
DIF Management B.V.,34312941.0,dif management
digi.bio B.V.,68119127.0,digibio
Digibende Den Bosch B.V.,92179150.0,digibende den bosch
Digidentity B.V.,27322631.0,digidentity
DigiGamma B.V.,71416269.0,digigamma
DIGIO ICT B.V.,17118274.0,digio ict
Digireg Netherlands B.V.,65739345.0,digireg
DigiSure B.V.,82200378.0,digisure
Digital & Media Solutions B.V.,9130205.0,digital media solutions
Digital Decisions B.V.,68518072.0,digital decisions
Digital Matter B.V.,80798721.0,digital matter
Digital Power Technologies B.V.,83373616.0,digital power technologies
Digital Realty Netherlands B.V.,66632463.0,digital realty
Digital Revolution B.V.,33267823.0,digital revolution
Digital Survival Company B.V.,72043466.0,digital survival company
DigitalOcean EU B.V.,60912006.0,digitalocean eu
Dimaros B.V.,74959360.0,dimaros
Dimebox B.V.,61212563.0,dimebox
Dimenco B.V.,52677001.0,dimenco
Dimensio Verpakkingen B.V.,33236408.0,dimensio verpakkingen
Dimerce B.V.,76153282.0,dimerce
Dimerco Express Netherlands B.V.,34104688.0,dimerco express
Dinel Construction B.V.,24326419.0,dinel construction
Dinerate B.V.,55058590.0,dinerate
DIQQ B.V.,68646852.0,diqq
DiReC B.V.,55206999.0,direc
Direct Business B.V.,63117096.0,direct business
Direct Current B.V.,34350049.0,direct current
Direct Impact B.V.,67064043.0,direct impact
Direct Maintenance B.V.,14068636.0,direct maintenance
Direct Source International B.V.,53652037.0,direct source international
Direct2Pet Europe B.V.,34309053.0,direct2pet
Directness B.V.,34260642.0,directness
DISA Nederland B.V.,52542890.0,disa
disapo.de Apotheke B.V.,77622103.0,disapode apotheke
Discogs B.V.,63544962.0,discogs
Discord Netherlands B.V.,82229864.0,discord
Discovery Communications Benelux B.V.,33295591.0,discovery communications benelux
Distimo Holding B.V.,30266181.0,distimo
Distro Energy B.V.,84978740.0,distro energy
Ditio B.V.,52367002.0,ditio
DIV B.V.,61357413.0,div
Divardy Bakery Services B.V.,30210429.0,divardy bakery services
Diversey Europe Operations B.V.,53934504.0,diversey operations
Divitel B.V.,8075305.0,divitel
Dixstone Netherlands N.V.,33277773.0,dixstone
Dizain-Sync B.V.,8126607.0,dizainsync
Djairam Consultancy B.V.,89662660.0,djairam consultancy
Djeeni B.V.,73663646.0,djeeni
DJI Europe B.V.,61920541.0,dji
DK-Schweizer Nederland B.V.,18068763.0,dkschweizer
DL Packaging B.V.,18044447.0,dl packaging
DLA Piper Nederland N.V.,34207878.0,dla piper
DLF B.V.,16018887.0,dlf
DLM Finance B.V.,56689276.0,dlm finance
DMC Invest B.V.,71625356.0,dmc invest
DMC Production B.V.,90833546.0,dmc production
DMEGC Renewable Energy B.V.,84113081.0,dmegc renewable energy
Dmissi Electro B.V.,34202817.0,dmissi electro
DMM Services B.V.,80349927.0,dmm services
DMS Insight Works,71817301.0,dms insight works
